country_code,team,name
ALG,Algeria,Vladimir PETKOVIC
ARG,Argentina,Lionel SCALONI
AUS,Australia,Tony POPOVIC
AUT,Austria,Ralf RANGNICK
BEL,Belgium,Rudi GARCIA
BIH,Bosnia And Herzegovina,Sergej BARBAREZ
BRA,Brazil,Carlo ANCELOTTI
CPV,Cabo Verde,BUBISTA
CAN,Canada,Jesse MARSCH
COL,Colombia,Nestor LORENZO
COD,Congo DR,Sebastien DESABRE
CIV,Côte D'Ivoire,Emerse E FAE
CRO,Croatia,Zlatko DALIC
CUW,Curaçao,Dick ADVOCAAT
CZE,Czechia,Miroslav KOUBEK
ECU,Ecuador,Sebastian BECCACECE
EGY,Egypt,HOSSAM HASSAN
ENG,England,Thomas TUCHEL
FRA,France,Didier DESCHAMPS
GER,Germany,Julian NAGELSMANN
GHA,Ghana,CARLOS QUEIROZ
HAI,Haiti,Sebastien MIGNE
IRN,IR Iran,Amir GHALEHNOY
IRQ,Iraq,Graham ARNOLD
JPN,Japan,Hajime MORIYASU
JOR,Jordan,Jamal SELLAMI
KOR,Korea Republic,Myungbo HONG
MEX,Mexico,Javier AGUIRRE
MAR,Morocco,Mohamed OUAHBI
NED,Netherlands,Ronald KOEMAN
NZL,New Zealand,Darren BAZELEY
NOR,Norway,Stale SOLBAKKEN
PAN,Panama,Thomas CHRISTIANSEN
PAR,Paraguay,Gustavo ALFARO
POR,Portugal,Roberto MARTINEZ
QAT,Qatar,Julen LOPETEGUI
KSA,Saudi Arabia,Georgios DONIS
SCO,Scotland,Steve CLARKE
SEN,Senegal,Pape THIAW
RSA,South Africa,Hugo BROOS
ESP,Spain,Luis DE LA FUENTE
SWE,Sweden,Graham POTTER
SUI,Switzerland,Murat YAKIN
TUN,Tunisia,Sabri LAMOUCHI
TUR,Türkiye,Vincenzo MONTELLA
URU,Uruguay,Marcelo BIELSA
USA,USA,Mauricio POCHETTINO
UZB,Uzbekistan,Fabio CANNAVARO
