match_no,group,home_team,away_team,kickoff_utc,stadium,city
1,A,Mexico,South Africa,2026-06-11T19:00:00,Estadio Azteca,Mexico City
2,A,South Korea,Czech Republic,2026-06-12T02:00:00,Estadio Akron,Zapopan
3,B,Canada,Bosnia and Herzegovina,2026-06-12T19:00:00,BMO Field,Toronto
4,D,United States,Paraguay,2026-06-13T01:00:00,SoFi Stadium,"Inglewood, California"
5,C,Haiti,Scotland,2026-06-14T01:00:00,Gillette Stadium,"Foxborough, Massachusetts"
6,D,Australia,Turkey,2026-06-14T04:00:00,BC Place,Vancouver
7,C,Brazil,Morocco,2026-06-13T22:00:00,MetLife Stadium,"East Rutherford, New Jersey"
8,B,Qatar,Switzerland,2026-06-13T19:00:00,Levi's Stadium,"Santa Clara, California"
9,E,Ivory Coast,Ecuador,2026-06-14T23:00:00,Lincoln Financial Field,Philadelphia
10,E,Germany,Curaçao,2026-06-14T17:00:00,NRG Stadium,Houston
11,F,Netherlands,Japan,2026-06-14T20:00:00,AT&T Stadium,"Arlington, Texas"
12,F,Sweden,Tunisia,2026-06-15T02:00:00,Estadio BBVA,"Guadalupe, Nuevo León"
13,H,Saudi Arabia,Uruguay,2026-06-15T22:00:00,Hard Rock Stadium,"Miami Gardens, Florida"
14,H,Spain,Cape Verde,2026-06-15T16:00:00,Mercedes-Benz Stadium,Atlanta
15,G,Iran,New Zealand,2026-06-16T01:00:00,SoFi Stadium,"Inglewood, California"
16,G,Belgium,Egypt,2026-06-15T19:00:00,Lumen Field,Seattle
17,I,France,Senegal,2026-06-16T19:00:00,MetLife Stadium,"East Rutherford, New Jersey"
18,I,Iraq,Norway,2026-06-16T22:00:00,Gillette Stadium,"Foxborough, Massachusetts"
19,J,Argentina,Algeria,2026-06-17T01:00:00,Arrowhead Stadium,"Kansas City, Missouri"
20,J,Austria,Jordan,2026-06-17T04:00:00,Levi's Stadium,"Santa Clara, California"
21,L,Ghana,Panama,2026-06-17T23:00:00,BMO Field,Toronto
22,L,England,Croatia,2026-06-17T20:00:00,AT&T Stadium,"Arlington, Texas"
23,K,Portugal,DR Congo,2026-06-17T17:00:00,NRG Stadium,Houston
24,K,Uzbekistan,Colombia,2026-06-18T02:00:00,Estadio Azteca,Mexico City
25,A,Czech Republic,South Africa,2026-06-18T16:00:00,Mercedes-Benz Stadium,Atlanta
26,B,Switzerland,Bosnia and Herzegovina,2026-06-18T19:00:00,SoFi Stadium,"Inglewood, California"
27,B,Canada,Qatar,2026-06-18T22:00:00,BC Place,Vancouver
28,A,Mexico,South Korea,2026-06-19T01:00:00,Estadio Akron,Zapopan
29,C,Brazil,Haiti,2026-06-20T00:30:00,Lincoln Financial Field,Philadelphia
30,C,Scotland,Morocco,2026-06-19T22:00:00,Gillette Stadium,"Foxborough, Massachusetts"
